,City,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Country,Date
144,oyem,1.5995,11.5793,293.53,96,79,1.71,GA,1614643506
145,vostok,46.4856,135.8833,255.1,88,20,1.46,RU,1614643506
146,elizabethtown,37.694,-85.8591,278.15,48,1,3.2,US,1614643506
147,ribeira grande,38.5167,-28.7,287.0,66,71,5.98,PT,1614643506
148,nanortalik,60.1432,-45.2371,268.56,83,0,2.08,GL,1614643507
149,hualmay,-11.0964,-77.6139,296.88,66,32,2.65,PE,1614643507
150,portland,45.5234,-122.6762,289.26,51,75,1.54,US,1614643354
151,agadez,19.75,10.25,293.09,22,97,3.9,NE,1614643507
152,kodiak,57.79,-152.4072,276.15,65,90,7.72,US,1614643508
153,barabai,-2.5833,115.3833,300.1,75,87,0.42,ID,1614643508
154,kavieng,-2.5744,150.7967,301.74,77,97,5.38,PG,1614643508
155,barrow,71.2906,-156.7887,245.15,63,1,4.12,US,1614643509
156,airai,-8.9266,125.4092,292.55,76,79,0.71,TL,1614643509
157,mehamn,71.0357,27.8492,271.15,93,90,13.89,NO,1614643509
158,yellowknife,62.456,-114.3525,254.26,46,75,4.12,CA,1614643225
159,zabol,32.25,67.25,277.6,35,40,0.79,AF,1614643510
160,basco,20.4487,121.9702,297.77,84,99,6.03,PH,1614643510
161,kahului,20.8947,-156.47,299.15,50,40,8.75,US,1614643510
162,tiksi,71.6872,128.8694,238.11,85,100,0.95,RU,1614643511
163,sao filipe,14.8961,-24.4956,293.06,76,33,4.27,CV,1614643511
164,bengkulu,-3.8004,102.2655,297.86,83,100,2.18,ID,1614643511
165,berlevag,70.8578,29.0864,271.15,93,90,13.89,NO,1614643511
166,kitimat,54.0524,-128.6534,276.48,80,95,1.34,CA,1614643433
167,lavrentiya,65.5833,-171.0,247.26,84,100,6.41,RU,1614643512
168,nizwa,22.9333,57.5333,289.36,69,0,0.52,OM,1614643512
169,saint-francois,46.4154,3.9054,278.71,87,0,0.51,FR,1614643512
170,katsuura,35.1333,140.3,290.93,94,75,3.6,JP,1614643513
171,torbay,47.6666,-52.7314,271.48,100,75,2.06,CA,1614643513
172,marsh harbour,26.5412,-77.0636,297.56,75,40,3.15,BS,1614643349
173,port blair,11.6667,92.75,296.77,68,0,2.37,IN,1614643513
174,dolores,-36.3132,-57.6792,293.81,90,82,4.72,AR,1614643514
175,guatire,10.4762,-66.5427,300.15,78,20,1.03,VE,1614643514
176,kindu,-2.95,25.95,295.81,87,98,1.21,CD,1614643514
177,alta floresta,-9.8756,-56.0861,294.1,99,96,1.94,BR,1614643515
178,ponta do sol,32.6667,-17.1,286.48,62,41,1.34,PT,1614643515
